রুণু : 1
যদি বাসব : 1
অমনিসাজাইলা চিতা : 1
চিত্ররথ মহারথী : 1
আনি কাষ্ঠ : 1
সুরভি ঢালিলাঘৃত : 1
তাহে আসি : 1
শুচি সর্ব্বশুচিকারী : 1
দহিলা দানব : 1
দেহ অনুমৃতা : 1
হয়ে সুন্দ : 1
উপসুন্দাসুর মহিষী : 1
রূপসীগেলা ব্রহ্মলোকে : 1
দোঁহে পতিপরায়ণা : 1
তবে তিলোত্তমাপানে : 1
চাহি সুরপতিজিষ্ণু : 1
কহিলেন দেব : 1
মৃদু মন্দস্বরে : 1
তারিলে দেবতাকুলে : 1
অকূলপাথারেতুমি দলি : 1
দানবেন্দ্রে তোমার : 1
কল্যাণে হে : 1
কল্যাণি স্বর্গলাভ : 1
আবার করিনু : 1
এ সুখ্যাতি : 1
তব সতি : 1
ঘুষিবে জগতেচিরদিন : 1
যাও এবে : 1
বিধি সূর্য্যলোকে : 1
সুখে পশি : 1
যথা দেবী : 1
কেশব বাসনা : 1
ইন্দুবদনা ইন্দিরা : 1
জলধির তলে : 1
তিলোত্তমা তারকারা : 1
ধনী সূর্য্যলোকে : 1
সুরসৈন্য সহ : 1
সুরপতিঅমরাপুরীতে হর্ষে : 1
পুনঃ প্রবেশিলা : 1
মেঘ রূপ : 1
চাপ ছাড়ি : 1
বজ্রাগ্নি যেমনেপড়ে : 1
পাহাড়ের শৃঙ্গে : 1
ভীষণ নির্ঘোষে : 1
হেরি ক্ষেত্রে : 1
ক্ষত্র গ্লানি : 1
দুষ্ট দুঃশাসনে : 1
রৌদ্ররূপী ভীমসেন : 1
ধাইলা সরোষে : 1
পদাঘাতে বসুমতী : 1
কাঁপিলা সঘনে : 1
বাজিল ঊরুতে : 1
অসি গুরু : 1
অসি কোষেযথা : 1
সিংহ সিংহনাদে : 1
ধরি মৃগে : 1
বনেকামড়ে প্রগাঢ়ে : 1
ঘাড় লহু : 1
ধারা শোষে : 1
বিদরি হৃদয় : 1
